text,label
co se děje,1
"Jsem z nich na prášky...:-D :D ... se divím , že mi jdou posílat smsky ..",0
Nejlepší bylo Bounty... :-),2
:D Já jsem četla: z vlaku vypadl kluk Ruda :D,1
a budou venku i v neděly?=O],1
Swiss King by měl být ve stálé nabídce,1
"Hmm, pěkný ""dárek"" asi jako by mi někdo dal něco pod stromeček a k tomu přibalil i splátkový kalendář Homecreditu .... :-(",0
"jsem z oboru, nakupuji a prodávám hotely každý den, a super cena to teda není....",0
"Kdyby jste trávili svůj volnej čas v MCD,tak by vás ty chutě přešli,to mi věřte.. :D",0
"A co zavést i v ČR něco pro vegetariány, veggieburgery atd?...",1
Super! Jako vždy kočka... :-),2
A zpívají písničky vážně amorci? :),1
Dneska bylo zimy až až ....,1
Jj... hned se teď musím napít Kofoly :),2
Přesně tyhle mám :),2
neuvěřitelné!,1
Tvrdý toast? Kde?,1
"hm, tak já nakoupila tak se mám na co těšít :-(",0
Číslo požadavku: 120814/260977,1
"No upřímně nejsem fanda, ale o jedný restauraci kde jí celkem často mají vím :)",1
a kolik to stojí prosím informaci? je to hezký:)),2
Mláďata žiraf jsou moc krásná a v naší ZOO jich můžeme vidět každý rok několik a to je opravdu skvělé,2
a stačí povolit datové přenosy v mobilu nebo si musím aktivovat internet?,1
"nic moc...chuťovně nevárazný,málo omáčky,hrozně moc masa ve kterým je tuna oleji...čekal sem něco líšího od breefa ale zklamal mě :/",0
Váš internet stojí pěkně za piču pořád nám to padá !!!,0
"Nemuzes mit volani za 2,50 a volani zdarma bud jedno nebo druhe... to da rozum :-)",1
už je mám na cestě :-),2
"Dobrý den, poslední dobou mi nestačí u studentského internetu fup. Existuje možnost jak platit méně a mít dat mnohem více?",1
už zase pondělíííí,1
"Já si tento týden již zvykám, v úterý jsem takto strávil celý pracovní den, kdy se mi nikdo nedovolal a zmeškal několik důležitých hovorů",0
co to je? to je krása;),2
Řek bych že U za 10.000 nikdo nepustí když to auto má mnohem větší cenu ..,1
hlavně že twisťáci mají havaj a já mám velký ....,0
"A nemělo to obsahovat aj slovo O2? Nejsem si jistej, jen se ptám...",1
Jak na něj to Koťe kouká ♥ :),2
Reklama na brzy krachující podnik :D,0
hmmm lyže by se hodily... už jsem hlasoval :),1
"Dobrý den, objednala jsem si voucher na bylinné balzámy a nemohu je na eshopu objednat, jelikož mi to hlásí nesprávný kód. Kde je problém?",1
taky jsem zkoušela se dostat na stránky milkasotez a nic:((,0
zabít a je to,0
"vás to ve škole neučili: mililitr, centilitr, decilitr, půllitr, litr :-D ... a jinak třetinka je malej půllitr ;-)",1
ale aby se někdo od Milky vyjádřil to ne:((,0
100% Samsung Galaxy Y je už 4 měsíc HITem měsíce...:),2
už jsem je měla a jsou dobré :),2
Nejde mi o mobilní net...já chci levné volání a to je se slevou 75 %...,1
Mam dotaz sezenu vanilkou kofolu v kauflandu v chebu?,1
Proč si pořád kupuje ty stejný?! xD,1
Kam má zaslat fakturu ???,1
"pavle, myslím že na džus bude doplatek stejně. ale 5kč nikoho nezabije, prostě se to tolik nečepuje",1
a ta holka jak na nás čuměla.:DDD,1
Helena by nam mohla platit faktury :D,1
"Ale kdybys slyšela od pár lidí, jak se dělá, tak už tohle nenapíšeš:D",0
...protože hračka z happy mealu je základem šťastného vývoje dítěte...zjevně.,0
opálených je dost,1
jak to myslite to cislo je o2,1
díky :-)I Vám :-),2
Pavel Vesecký uplně jak Semínek.. :DD,1
"Bohužel:-( Blahopřeji ale vítězce, bylo to o zručnosti a rychlosti",1
"těžko, když v Hradci dneska neběží :-(",0
ta moje je ještě v supermarketu,1
:D To bych chtěla taky..:D,1
tak asi vemu nabidku jineho operatora....,1
Slevy na prášky by to chtělo :p,1
Ty tři minuty stačí na vyčerpání FUP.,1
můj parfém .. nejlepší :-),2
"Prosím, prosím měl by někdo nějaký malinký bodíček, děkuji mnohokrát mé id.č.1491722808 na tabulku pro prcka:-)",1
Já tam byl :),1
Točili kolem štěstí,1
Až navýšíte rychlost po vyčerpání FUP alespoň na ubohých 56kbps tak Vám odpustím....,0
"Adrianka: Chápu, ale asistent by měl poradit, co v této krizové situaci dělat. Nic víc nic miň. :)",1
a tenhle čas tu byl někde uveřejněn?,1
správně napiš ID posílám,1
"no prý chyba, prý je to tahle: http://www.osigroup.com/index.html je to o pár příspěvků níže...",1
tak to si zabyla mišo,1
"Je to roztomilá pozvánka k vám na návštěvu,aspoň uvidíme,jak vypadá ZOO pod sněhem!!",2
sežraly mě prase kuny :-D,1
asi jich je míň:D:D,1
úžasná vůně a Versace Diamond také nemá chybku :) .......doporučuji,2
To je fofr aktuální rychlost připojení po vyčerpání 150FUP je ......astronomických 8kbits :) úplně mi vlajou vlasy z tý rychlosti :),0
já tu žádnou nápoědu nevidím xD :) <3,1
Za pět minut to jdu vařit ! :-DDD,1
Děkuji ! Těším se na setkání s Vámi ! Chybí mi Kofola ( a všechny mé úžasné české Přítel ) . Chybí mi tvá země !,2
je to láska.,2
"chcete mi říct, že se to nikomu n e l í b í ??! :D",0
"Posílal jsem již dva emaily, poprvé bez odpovědi a nyní mi přišel pouze email psaný anglicky s jakýmsi odkazem na slevomat.zendesk.com..",1
u nás už se dneska zahajoval školní rok hezky v hospůdce u kofoly ;),2
"Milane, taky je otazka kolik celorepublikovych vypadku upc melo. Nicmene souhlasim, aspon pro nekoho neco, u nas se to moc nenosi",1
":-( o.k. a díky, už jsem nakoupil a jdu na soutěž",1
